,VarName,Description,Root_DF,Start,End,DataFrame,recursion_flag
125,SC33_1,Lie/steal/break rules as child or teen,Screening,125,125,ncsr,0
126,SC33_2,Broke into cars/set fires/destroy prop as child/teen,Screening,126,126,ncsr,0
127,SC33_3,Run away/freq hooky/stay out too late as child/teen,Screening,127,127,ncsr,0
128,SC34,Separation anxiety for 1+ mth as child,Screening,128,128,ncsr,0
129,SC35,Ever separation prob gt 1mo when adult,Screening,129,129,ncsr,0
130,SC10_7A01,Physical handicap:1st mention,Screening,130,130,ncsr,0
131,SC10_8F01,Physical handicap:1st mention,Screening,131,131,ncsr,0
132,SC10_8G01,Physical handicap:1st mention,Screening,132,132,ncsr,0
133,SC10_5E201,Physical illness:1st mention,Screening,133,133,ncsr,0
134,SC10_5E202,Physical illness:2nd mention,Screening,134,134,ncsr,0
135,SC10_5E203,Physical illness:3rd mention,Screening,135,135,ncsr,0
136,SC10_5E204,Physical illness:4th mention,Screening,136,136,ncsr,0
137,SC10_5E205,Physical illness:5th mention,Screening,137,137,ncsr,0
138,SC10_5E206,Physical illness:6th mention,Screening,138,138,ncsr,0
139,SC10_5E207,Physical illness:7th mention,Screening,139,139,ncsr,0
140,SC10_5E208,Physical illness:8th mention,Screening,140,140,ncsr,0
141,SC10_7A201,Physical illness:1st mention,Screening,141,141,ncsr,0
142,SC10_7A202,Physical illness:2nd mention,Screening,142,142,ncsr,0
143,SC10_8F201,Physical illness:1st mention,Screening,143,143,ncsr,0
144,SC10_8F202,Physical illness:2nd mention,Screening,144,144,ncsr,0
145,SC10_8F203,Physical illness:3rd mention,Screening,145,145,ncsr,0
146,SC10_8F204,Physical illness:4th mention,Screening,146,146,ncsr,0
147,SC10_8F205,Physical illness:5th mention,Screening,147,147,ncsr,0
148,SC10_8G201,Physical illness:1st mention,Screening,148,148,ncsr,0
149,SC10_8G202,Physical illness:2nd mention,Screening,149,149,ncsr,0
150,SC10_8G203,Physical illness:3rd mention,Screening,150,150,ncsr,0
151,SC10_8G204,Physical illness:4th mention,Screening,151,151,ncsr,0
152,SC10_5EB01,Physical Handicap: Recoded to Number of Mentions,Screening,152,152,ncsr,0
153,D1,Sad/depr episode - discouraged about life,Depression,153,153,ncsr,0
154,D1A,Sad/depr episode - lost interest in enjoyable things,Depression,154,154,ncsr,0
155,D1B,Sad/depr episode - lost interest in enjoyable things,Depression,155,155,ncsr,0
156,D2,Discouraged about life episode lost int in enjoy things,Depression,156,156,ncsr,0
157,D9,Lost int in enjoy things episode - felt most of time 2+ wks,Depression,157,157,ncsr,0
158,D9A,Longest # of days lost interest in enjoyable things,Depression,158,158,ncsr,0
159,D9A1,"Time unit lost interest in enjoy things,D9A",Depression,159,159,ncsr,0
160,D9A2,Longest period of losing interest-3+ days,Depression,160,160,ncsr,0
161,D12,Sadness episode lasted all day for 2+ wks,Depression,161,161,ncsr,0
162,D12A,Longest # of days felt sad/discouraged/depressed,Depression,162,162,ncsr,0
163,D14,Sad episode several days almost every month for a year,Depression,163,163,ncsr,0
164,D15,Severe several day episode - # hours sadness/day,Depression,164,164,ncsr,0
165,D16,Severe 2+ wk episode - # hours sadness/day,Depression,165,165,ncsr,0
166,D17,Severity of emotional distress during sad episode,Depression,166,166,ncsr,0
167,D18,Severe sad episode - how often nothing could cheer you,Depression,167,167,ncsr,0
168,D19,Emotional distress so severe could not carry out activities,Depression,168,168,ncsr,0
169,D21,Sleep/energy/appetite/concentration problems,Depression,169,169,ncsr,0
170,D22,Apparent worst episode combining most # of other problems,Depression,170,170,ncsr,0
171,D22A,Age worst episode began,Depression,171,171,ncsr,0
172,D22B,Length of worst episode,Depression,172,172,ncsr,0
173,D22B1,"Unit of time of worst episode, D22B",Depression,173,173,ncsr,0
174,D22C,Age of last bad sadness/depressed episode,Depression,174,174,ncsr,0
175,D22D,Length of last bad sadness/depressed episode,Depression,175,175,ncsr,0
176,D22D1,"Time unit last sadness/depressed episode,D22D",Depression,176,176,ncsr,0
177,D24A,Severe dep episode-felt depressed most days,Depression,177,177,ncsr,0
178,D24B,Severe dep episode-nothing could cheer you most days,Depression,178,178,ncsr,0
179,D24C,Sev dep episode-discouraged about things in life most days,Depression,179,179,ncsr,0
180,D24D,Severe dep episode-felt hopeless about future most days,Depression,180,180,ncsr,0
181,D24E,Severe dep episode-lost int in things you used to think fun,Depression,181,181,ncsr,0
182,D24F,Sev dep episode-nothing fun though good things happening,Depression,182,182,ncsr,0
183,D26A,Severe dep episode-small appetite most days,Depression,183,183,ncsr,0
184,D26B,Severe dep episode-larger appetite than usual most days,Depression,184,184,ncsr,0
185,D26C,Severe dep episode-gained weight without trying,Depression,185,185,ncsr,0
186,D26D,Severe dep episode-weight gain in lbs,Depression,186,186,ncsr,0
187,D26E,Severe dep episode-lost weight without trying,Depression,187,187,ncsr,0
188,D26F,Worst dep episode-amt of weight loss,Depression,188,188,ncsr,0
189,D26G,Severe dep episode-trouble sleeping most nights,Depression,189,189,ncsr,0
190,D26H,Severe dep episode-slept more than usual most nights,Depression,190,190,ncsr,0
191,D26I,Severe dep episode-slept much less but not tired,Depression,191,191,ncsr,0
192,D26J,Severe dep episode-low energy and tired w/out work most days,Depression,192,192,ncsr,0
193,D26K,Severe dep episode-more energy than usual most days,Depression,193,193,ncsr,0
194,D26L,Severe dep episode-talk/move more slowly than usual most days,Depression,194,194,ncsr,0
195,D26M,Severe dep episode-others notice talk/move more slowly,Depression,195,195,ncsr,0
196,D26N,Severe dep episode-so restless couldn't sit still or paced,Depression,196,196,ncsr,0
197,D26O,Severe dep episode-others notice restlessness,Depression,197,197,ncsr,0
198,D26P,Severe dep episode-slow or mixed up thoughts most days,Depression,198,198,ncsr,0
199,D26Q,Severe dep episode-jumping or racing thoughts hard to track,Depression,199,199,ncsr,0
200,D26R,Severe dep episode-more trouble concentrating most days,Depression,200,200,ncsr,0
201,D26S,Severe dep episode-unusual indecisiveness,Depression,201,201,ncsr,0
202,D26T,Severe dep episode-lost self confidence,Depression,202,202,ncsr,0
203,D26U,Severe dep episode-felt not as good as others most days,Depression,203,203,ncsr,0
204,D26V,Severe dep episode-worthless feeling most days,Depression,204,204,ncsr,0
205,D26W,Severe dep episode-felt guilty most days,Depression,205,205,ncsr,0
206,D26X,Severe dep episode-felt irritable/grouchy/moody most days,Depression,206,206,ncsr,0
207,D26Y,Severe dep episode-felt nervous or anxious most days,Depression,207,207,ncsr,0
208,D26Z,Severe dep episode-sudden attacks of intense fear or panic,Depression,208,208,ncsr,0
209,D64C,Mark statement- Wake too early in morn-most severe episode,Depression,209,209,ncsr,0
210,D64D,Mark statement- Amount of sleep-most severe episode,Depression,210,210,ncsr,0
211,D26AA,Severe dep episode- often thought of death,Depression,211,211,ncsr,0
212,D26BB,Severe dep episode-would be better if dead,Depression,212,212,ncsr,0
213,D26CC,Severe dep episode-thought about suicide,Depression,213,213,ncsr,0
214,D26DD,Severe dep episode-made suicide plan,Depression,214,214,ncsr,0
215,D26EE,Severe dep episode-attempted suicide,Depression,215,215,ncsr,0
216,D26FF,Severe dep episode-unable to cope with daily responsibilities,Depression,216,216,ncsr,0
217,D26GG,Severe dep episode-alone rather than with friends/relatives,Depression,217,217,ncsr,0
218,D26HH,Severe dep episode-less talkative than usual most nights,Depression,218,218,ncsr,0
219,D26II,Severe dep episode-cried often,Depression,219,219,ncsr,0
220,D28,Sadness and probs interfered w/ work/relations/social life,Depression,220,220,ncsr,0
221,D28A,Severe depressed episode-unable to perform daily activities,Depression,221,221,ncsr,0
222,D29A,Severe depressed episodes result of physical causes,Depression,222,222,ncsr,0
223,D29B,Severe depressed episodes always result of physical causes,Depression,223,223,ncsr,0
224,D37,Exact age 1st dep episode combined with other problems,Depression,224,224,ncsr,0
225,D37A,Age 1st depressed episode,Depression,225,225,ncsr,0
226,D37B,Estimate age 1st episode,Depression,226,226,ncsr,0
227,D37B_1,1st episode brought on by stress or out of blue,Depression,227,227,ncsr,0
228,D37C1,Approx length of 1st episode,Depression,228,228,ncsr,0
229,D37C2,Unit time 1st episode,Depression,229,229,ncsr,0
230,D37B4,Not before a teenager,Depression,230,230,ncsr,0
231,D38A_4,Length of episode-so far,Depression,231,231,ncsr,0
232,D38,Sadness episode combined with other probs in past 12 mths,Depression,232,232,ncsr,0
233,D38A,Recent occurrence of sadness + other episode,Depression,233,233,ncsr,0
234,D38A_1,# of episodes in the past 12 months,Depression,234,234,ncsr,0
235,D38A_6,Episode ended or ongoing,Depression,235,235,ncsr,0
236,D38A_7A,Length 1st episode in the past year,Depression,236,236,ncsr,0
237,D38A_7B,"Unit of time 1st episode in the past year,D38A_7",Depression,237,237,ncsr,0
238,D38A_9,Most recent episode ended or ongoing,Depression,238,238,ncsr,0
239,D38B,# of days in past 365 in episode,Depression,239,239,ncsr,0
240,D38C,Age last time with episode,Depression,240,240,ncsr,0
241,D39,Longest period had episode w other problem most,Depression,241,241,ncsr,0
242,D39A,"Unit time longest episode, D39",Depression,242,242,ncsr,0
243,D41,Full year with episodes lasting several days + most months,Depression,243,243,ncsr,0
244,D42,Age had 1st year of episodes every month,Depression,244,244,ncsr,0
245,D42_1,Episodes brought by stressful exp in 1st year of episodes,Depression,245,245,ncsr,0
246,D43,# of years with episodes nearly every month,Depression,246,246,ncsr,0
247,D46,Full year or longer with episodes most days,Depression,247,247,ncsr,0
248,D47,Age at first year with episodes most days,Depression,248,248,ncsr,0
249,D48,# of different years in episode most days,Depression,249,249,ncsr,0
250,D50,Longest continuous # years in episode most days,Depression,250,250,ncsr,0
251,D52,# of episodes with other problems lasting 2+ weeks,Depression,251,251,ncsr,0
252,D53_1,Episodes brought by stressful experience,Depression,252,252,ncsr,0
253,D54,# of different years in life had at least one episode,Depression,253,253,ncsr,0
254,D56,Longest continuous # years with at least 1 episode per year,Depression,254,254,ncsr,0
255,D58,Full year or longer in episode most days,Depression,255,255,ncsr,0
256,D59,# of years in life in episode most days,Depression,256,256,ncsr,0
257,D59A,Age first time had a year of episodes most days,Depression,257,257,ncsr,0
258,D38A_3,Month episode started,Depression,258,258,ncsr,0
259,D61,Longest # continuous years in episodes for most days,Depression,259,259,ncsr,0
260,D64A,Mark statement- Problems falling asleep-most severe episode,Depression,260,260,ncsr,0
261,D64B,Mark statement- Waking up at night-most severe episode,Depression,261,261,ncsr,0
262,D64E,Mark statement- Feeling sad-most severe episode,Depression,262,262,ncsr,0
263,D64F,Mark stmnt- Concentrate and make dec-most sev episode,Depression,263,263,ncsr,0
264,D64G,Mark statement- Feel down on self-most severe episode,Depression,264,264,ncsr,0
265,D64H,Mark statement- Int in daily activities-most severe episode,Depression,265,265,ncsr,0
266,D64I,Mark statement- Level of energy-most severe episode,Depression,266,266,ncsr,0
267,D66A,Severe month in past year interfered w/ home mgmt,Depression,267,267,ncsr,0
268,D66B,Severe month in past year interfered w/ ability to work,Depression,268,268,ncsr,0
269,D66C,Severe mth in past yr interfered w/ form/maint close relations,Depression,269,269,ncsr,0
270,D66D,Severe month in past interfered with social life,Depression,270,270,ncsr,0
271,D68,Days in yr totally unable to do usual activities due to sadness,Depression,271,271,ncsr,0
272,D72,Saw professional about sadness,Depression,272,272,ncsr,0
273,D72A,Age first time talked to professional about sadness/discour,Depression,273,273,ncsr,0
274,D86,Professional treatment for sadness in past 12 mths,Depression,274,274,ncsr,0
275,D87,Hospitalized overnight for sadness,Depression,275,275,ncsr,0
276,D87A,Age 1st hospitalized overnight for sadness,Depression,276,276,ncsr,0
277,D37B1,Estimate age of 1st episode,Depression,277,277,ncsr,0
278,D37B2,1st episode before started school,Depression,278,278,ncsr,0
279,D37B3,1st episode before teenager,Depression,279,279,ncsr,0
280,D38A_4A,Unit time of episode,Depression,280,280,ncsr,0
281,M1,Behavioral changes during episode of excitement,Mania,281,281,ncsr,0
282,M3,One episode where large # behavior changes stand out,Mania,282,282,ncsr,0
283,M3A,Age at episode where large # behavior changes stand out,Mania,283,283,ncsr,0
284,M3B1,Length of episode where large # behavior changes stand out,Mania,284,284,ncsr,0
285,M3B2,"Unit length of excited period, M3B1",Mania,285,285,ncsr,0
286,M3C,Age at recent episode where large # behav changes stand out,Mania,286,286,ncsr,0
287,M3D1,Length recent episode where large # behav changes stand out,Mania,287,287,ncsr,0
288,M3D2,Unit length of recent episode w/ large # behavior changes,Mania,288,288,ncsr,0
289,M4,"During recent episode, so grouchy started argue/shout/hit",Mania,289,289,ncsr,0
290,M5,Behavioral changes during irritable episode,Mania,290,290,ncsr,0
291,M6,"While irritable, one episode with large # behav changes",Mania,291,291,ncsr,0
292,M6A,Age at irritable period with most behavioral changes,Mania,292,292,ncsr,0
293,M6B1,Length irritable period with most behav changes,Mania,293,293,ncsr,0
294,M6B2,Unit of time of irritable period with most behav changes,Mania,294,294,ncsr,0
295,M6C,Age most recent irritable period with most behav changes,Mania,295,295,ncsr,0
296,M6D1,Length most recent irritable period with most behav changes,Mania,296,296,ncsr,0
297,M6D2,"Unit of time of irritable period w/ most behav changes, M6D1",Mania,297,297,ncsr,0
298,M7A,"Irritable episode-so restless, couldn't sit still or paced",Mania,298,298,ncsr,0
299,M7B,Irritable episode-more int in sex than usual/diff partners,Mania,299,299,ncsr,0
300,M7C,Irritable episode-overly friendly with people,Mania,300,300,ncsr,0
301,M7D,Irritable episode-inappropriate behavior,Mania,301,301,ncsr,0
302,M7E,Irritable episode-take on impossible tasks/lg amts of work,Mania,302,302,ncsr,0
303,M7F,Irritable episode-talked more than usual,Mania,303,303,ncsr,0
304,M7G,Irritable episode-constantly change plans/activities,Mania,304,304,ncsr,0
305,M7H,Episode hard keep mind things,Mania,305,305,ncsr,0
306,M7I,Irritable episode-thoughts jumping/racing unable to keep track,Mania,306,306,ncsr,0
307,M7J,Irritable episode-sleep less than usual but not tired,Mania,307,307,ncsr,0
308,M7K,Irritable episode-involved in foolish investments/money making,Mania,308,308,ncsr,0
309,M7L,Irritable episode-financial trouble due to spending too much,Mania,309,309,ncsr,0
310,M7M,Irritable episode-seeking pleasure doing risky things,Mania,310,310,ncsr,0
311,M7N,Irritable episode-exaggerated sense of self-confidence,Mania,311,311,ncsr,0
312,M7O,Irritable episode-identity problems or false connection to celeb,Mania,312,312,ncsr,0
313,M9,Episode + problems affected work/social/relations,Mania,313,313,ncsr,0
314,M9A,Unable do normal activities due to episode + problems,Mania,314,314,ncsr,0
315,M9B,Others say anything or worry about actions,Mania,315,315,ncsr,0
316,M10A,Excite/grouchy episode result of phys cause or drug/alcohol,Mania,316,316,ncsr,0
317,M10B,All excite/grouchy episodes result of physical cause,Mania,317,317,ncsr,0
318,M18,Exact age of 1st excited/grouchy episode + behav changes,Mania,318,318,ncsr,0
319,M18A,Age of 1st excited/grouchy episode + behav changes,Mania,319,319,ncsr,0
320,M18B1,Estimate age 1st excited/grouchy episode + behav changes,Mania,320,320,ncsr,0
321,M18B,Estimate age 1st excited/grouchy episode + behav changes,Mania,321,321,ncsr,0
322,M18B2,1st excited/grouchy + behav episode before started school,Mania,322,322,ncsr,0
323,M18B3,1st excited/grouchy + behav episode before teenager,Mania,323,323,ncsr,0
324,M18C,1st excited/grouchy + behav episode due to stress or sudden,Mania,324,324,ncsr,0
325,M18D1,Length 1st excited/grouchy + behav episode,Mania,325,325,ncsr,0
326,M18D2,Unit time 1st excited/grouchy + behav episode,Mania,326,326,ncsr,0
327,M19,Excited/grouchy + behav episode anytime in the past 12 mths,Mania,327,327,ncsr,0
328,M19A,How recent last excited/grouchy + behav episode,Mania,328,328,ncsr,0
329,M19B,# excited/grouchy + behav episodes in past year,Mania,329,329,ncsr,0
330,M19C,Weeks in past yr had excited/grouchy + behav episodes,Mania,330,330,ncsr,0
331,M19D,Age last time excited/grouchy + behav episodes,Mania,331,331,ncsr,0
332,M20,# excited/grouchy + behav episodes lasted 1 week or more,Mania,332,332,ncsr,0
333,M21,# excited/grouchy + behav episodes lasted less than week,Mania,333,333,ncsr,0
334,M21_1,# of episodes brought by on stress,Mania,334,334,ncsr,0
335,M22A,Length longest excited/grouchy + behav episode ever had,Mania,335,335,ncsr,0
336,M22B,Unit of time length longest excited/grouchy + behav ep M22A,Mania,336,336,ncsr,0
337,M23,# of different years with excited/grouchy + behav episode,Mania,337,337,ncsr,0
338,M27A,Severe month past year-exc/grouch ep interfered home mgmt,Mania,338,338,ncsr,0
339,M27B,Severe month in past year-exc/grouch ep interfered w/ work,Mania,339,339,ncsr,0
340,M27C,Severe mth in past year-ep interf with form/maint close friends,Mania,340,340,ncsr,0
341,M27D,Severe mth in past yr-exc/grouch ep interfered w/ social life,Mania,341,341,ncsr,0
342,M29,# days in year unable carry out normal acts due to episodes,Mania,342,342,ncsr,0
343,M30A,Worst episode in past year-mood,Mania,343,343,ncsr,0
344,M30B,Worst episode in past year-physical arousel,Mania,344,344,ncsr,0
345,M30C,Worst episode in past year-sexual interest,Mania,345,345,ncsr,0
346,M30D,Worst episode in past year-quantity of sleep,Mania,346,346,ncsr,0
347,M30E,Worst episode in past year-irritable,Mania,347,347,ncsr,0
348,M30F,Worst episode in past year-talkative,Mania,348,348,ncsr,0
349,M30G,Worst episode in past year-racing thoughts/disorg thinking,Mania,349,349,ncsr,0
350,M30H,Worst episode in past year-unrealistic thinking,Mania,350,350,ncsr,0
351,M30I,Worst episode in past year-disruptive behavior,Mania,351,351,ncsr,0
352,M30J,Worst episode in past year-appearance,Mania,352,352,ncsr,0
353,M30K,Worst episode in past year-you thought you had problem,Mania,353,353,ncsr,0
354,M33,Ever talk to mdical doctor professional for epis,Mania,354,354,ncsr,0
355,M33A,Age 1st time talk to professional,Mania,355,355,ncsr,0
356,M45,Received helpful/effective treatment,Mania,356,356,ncsr,0
357,M45A,Age 1st time received helpful/effective treatment for episodes,Mania,357,357,ncsr,0
358,M45B,Total profs seen for excited/grouchy eps incl helful trmt doc,Mania,358,358,ncsr,0
359,M45C,# professionals ever seen about episodes,Mania,359,359,ncsr,0
360,M47,Received professional treatment any time past 12 mths,Mania,360,360,ncsr,0
361,M48,Hospitalized overnight for episode,Mania,361,361,ncsr,0
